tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2018-01-01,76.0,31.0,38.0,35.0,9.0,76.0,PM10,SEDANG,DKI4
2018-01-02,23.0,31.0,24.0,39.0,14.0,39.0,O3,BAIK,DKI3
2018-01-03,53.0,35.0,35.0,101.0,23.0,101.0,O3,TIDAK SEHAT,DKI3
2018-01-04,53.0,49.0,34.0,57.0,15.0,57.0,O3,SEDANG,DKI3
2018-01-05,44.0,32.0,26.0,28.0,10.0,44.0,PM10,BAIK,DKI4
2018-01-06,20.0,30.0,22.0,31.0,5.0,31.0,O3,BAIK,DKI5
2018-01-07,26.0,30.0,14.0,46.0,5.0,46.0,O3,BAIK,DKI5
2018-01-08,62.0,33.0,19.0,73.0,17.0,73.0,O3,SEDANG,DKI5
2018-01-09,45.0,32.0,16.0,63.0,14.0,63.0,O3,SEDANG,DKI3
2018-01-10,42.0,34.0,16.0,95.0,17.0,95.0,O3,SEDANG,DKI5
2018-01-11,40.0,38.0,18.0,81.0,19.0,81.0,O3,SEDANG,DKI5
2018-01-12,37.0,33.0,18.0,83.0,17.0,83.0,O3,SEDANG,DKI5
2018-01-13,51.0,30.0,17.0,93.0,21.0,93.0,O3,SEDANG,DKI5
2018-01-14,33.0,72.0,17.0,73.0,14.0,73.0,O3,SEDANG,DKI5
2018-01-15,30.0,72.0,19.0,70.0,12.0,72.0,SO2,SEDANG,DKI4
2018-01-16,25.0,70.0,19.0,61.0,10.0,70.0,SO2,SEDANG,DKI4
2018-01-17,35.0,52.0,19.0,60.0,13.0,60.0,O3,SEDANG,DKI5
2018-01-18,41.0,52.0,22.0,56.0,15.0,56.0,O3,SEDANG,DKI5
2018-01-19,46.0,51.0,29.0,48.0,19.0,51.0,SO2,SEDANG,DKI4
2018-01-20,27.0,51.0,18.0,38.0,7.0,51.0,SO2,SEDANG,DKI4
2018-01-21,25.0,51.0,18.0,40.0,8.0,51.0,SO2,SEDANG,DKI4
2018-01-22,26.0,52.0,17.0,32.0,6.0,52.0,SO2,SEDANG,DKI4
2018-01-23,28.0,52.0,17.0,57.0,9.0,57.0,O3,SEDANG,DKI5
